id;profile;enabled;username;password
1;Fresh;true;Shirt;navigate Branding framework
2;Avon;false;vertical Practical;Strategist
3;initiatives Future;false;Kids;Computer platforms
4;Producer;true;Incredible;Guatemala territory
5;Delaware;false;Gloves mobile;Avon
6;payment Kansas;false;Tennessee Cape;leverage Montana
7;database firmware Senior;true;holistic;Cotton Rubber Cambridgeshire
8;modular Cheese interactive;true;Compatible;Customer
9;unleash Web;false;Omani Ball compress;Granite Sports blue
10;Computer e-markets Practical;false;Table zero functionalities;back-end Brand
